Hostname;Processore;PGM N.;Sorgente;Channel
SNP-006;C;1;1;1
SNP-006;C;1;1;2
SNP-006;C;1;1;3
SNP-006;C;1;1;4
SNP-006;C;1;1;5
SNP-006;C;1;1;6
SNP-006;C;1;1;7
SNP-006;C;1;1;8
SNP-006;C;1;2;1
SNP-006;C;1;2;2
SNP-006;C;1;2;3
SNP-006;C;1;2;4
SNP-006;C;1;2;5
SNP-006;C;1;2;6
SNP-006;C;1;2;7
SNP-006;C;1;2;8
SNP-006;C;2;1;1
SNP-006;C;2;1;2
SNP-006;C;2;1;3
SNP-006;C;2;1;4
SNP-006;C;2;1;5
SNP-006;C;2;1;6
SNP-006;C;2;1;7
SNP-006;C;2;1;8
SNP-006;C;2;2;1
SNP-006;C;2;2;2
SNP-006;C;2;2;3
SNP-006;C;2;2;4
SNP-006;C;2;2;5
SNP-006;C;2;2;6
SNP-006;C;2;2;7
SNP-006;C;2;2;8
SNP-006;C;3;1;1
SNP-006;C;3;1;2
SNP-006;C;3;1;3
SNP-006;C;3;1;4
SNP-006;C;3;1;5
SNP-006;C;3;1;6
SNP-006;C;3;1;7
SNP-006;C;3;1;8
SNP-006;C;3;2;1
SNP-006;C;3;2;2
SNP-006;C;3;2;3
SNP-006;C;3;2;4
SNP-006;C;3;2;5
SNP-006;C;3;2;6
SNP-006;C;3;2;7
SNP-006;C;3;2;8
SNP-006;C;4;1;1
SNP-006;C;4;1;2
SNP-006;C;4;1;3
SNP-006;C;4;1;4
SNP-006;C;4;1;5
SNP-006;C;4;1;6
SNP-006;C;4;1;7
SNP-006;C;4;1;8
SNP-006;C;4;2;1
SNP-006;C;4;2;2
SNP-006;C;4;2;3
SNP-006;C;4;2;4
SNP-006;C;4;2;5
SNP-006;C;4;2;6
SNP-006;C;4;2;7
SNP-006;C;4;2;8
SNP-006;C;5;1;1
SNP-006;C;5;1;2
SNP-006;C;5;1;3
SNP-006;C;5;1;4
SNP-006;C;5;1;5
SNP-006;C;5;1;6
SNP-006;C;5;1;7
SNP-006;C;5;1;8
SNP-006;C;5;2;1
SNP-006;C;5;2;2
SNP-006;C;5;2;3
SNP-006;C;5;2;4
SNP-006;C;5;2;5
SNP-006;C;5;2;6
SNP-006;C;5;2;7
SNP-006;C;5;2;8
SNP-006;C;6;1;1
SNP-006;C;6;1;2
SNP-006;C;6;1;3
SNP-006;C;6;1;4
SNP-006;C;6;1;5
SNP-006;C;6;1;6
SNP-006;C;6;1;7
SNP-006;C;6;1;8
SNP-006;C;6;2;1
SNP-006;C;6;2;2
SNP-006;C;6;2;3
SNP-006;C;6;2;4
SNP-006;C;6;2;5
SNP-006;C;6;2;6
SNP-006;C;6;2;7
SNP-006;C;6;2;8
SNP-006;C;7;1;1
SNP-006;C;7;1;2
SNP-006;C;7;1;3
SNP-006;C;7;1;4
SNP-006;C;7;1;5
SNP-006;C;7;1;6
SNP-006;C;7;1;7
SNP-006;C;7;1;8
SNP-006;C;7;2;1
SNP-006;C;7;2;2
SNP-006;C;7;2;3
SNP-006;C;7;2;4
SNP-006;C;7;2;5
SNP-006;C;7;2;6
SNP-006;C;7;2;7
SNP-006;C;7;2;8
SNP-006;C;8;1;1
SNP-006;C;8;1;2
SNP-006;C;8;1;3
SNP-006;C;8;1;4
SNP-006;C;8;1;5
SNP-006;C;8;1;6
SNP-006;C;8;1;7
SNP-006;C;8;1;8
SNP-006;C;8;2;1
SNP-006;C;8;2;2
SNP-006;C;8;2;3
SNP-006;C;8;2;4
SNP-006;C;8;2;5
SNP-006;C;8;2;6
SNP-006;C;8;2;7
SNP-006;C;8;2;8
