Hostname;Processore;PGM_N;Tipo_formato_flusso;SSM_Red;SSM_Blue;Mcast_Red;Mcast_Blue;Port;Enable
SNP-LAB;D;1;2110-20-V;10.169.32.2;10.169.160.2;234.1.0.2;235.1.0.2;50100;False
SNP-LAB;D;1;2110-10_M;10.169.32.2;10.169.160.2;234.0.0.2;235.0.0.2;50103;False
SNP-LAB;D;1;2110-30 A Grp1 8ch;10.169.32.2;10.169.160.2;234.2.0.3;235.2.0.3;50101;False
SNP-LAB;D;1;2110-30 A Grp2 8ch;10.169.32.2;10.169.160.2;234.2.0.4;235.2.0.4;50102;False
SNP-LAB;D;2;2110-20-V;10.169.32.2;10.169.160.2;234.1.0.2;235.1.0.2;50100;False
SNP-LAB;D;2;2110-10_M;10.169.32.2;10.169.160.2;234.0.0.2;235.0.0.2;50103;False
SNP-LAB;D;2;2110-30 A Grp1 8ch;10.169.32.2;10.169.160.2;234.2.0.3;235.2.0.3;50101;False
SNP-LAB;D;2;2110-30 A Grp2 8ch;10.169.32.2;10.169.160.2;234.2.0.4;235.2.0.4;50102;False
SNP-LAB;D;3;2110-20-V;10.169.32.2;10.169.160.2;234.1.0.2;235.1.0.2;50100;False
SNP-LAB;D;3;2110-10_M;10.169.32.2;10.169.160.2;234.0.0.2;235.0.0.2;50103;False
SNP-LAB;D;3;2110-30 A Grp1 8ch;10.169.32.2;10.169.160.2;234.2.0.3;235.2.0.3;50101;False
SNP-LAB;D;3;2110-30 A Grp2 8ch;10.169.32.2;10.169.160.2;234.2.0.4;235.2.0.4;50102;False
SNP-LAB;D;4;2110-20-V;10.169.32.2;10.169.160.2;234.1.0.2;235.1.0.2;50100;False
SNP-LAB;D;4;2110-10_M;10.169.32.2;10.169.160.2;234.0.0.2;235.0.0.2;50103;False
SNP-LAB;D;4;2110-30 A Grp1 8ch;10.169.32.2;10.169.160.2;234.2.0.3;235.2.0.3;50101;False
SNP-LAB;D;4;2110-30 A Grp2 8ch;10.169.32.2;10.169.160.2;234.2.0.4;235.2.0.4;50102;False
SNP-LAB;D;5;2110-20-V;10.169.32.2;10.169.160.2;234.1.0.2;235.1.0.2;50100;False
SNP-LAB;D;5;2110-10_M;10.169.32.2;10.169.160.2;234.0.0.2;235.0.0.2;50103;False
SNP-LAB;D;5;2110-30 A Grp1 8ch;10.169.32.2;10.169.160.2;234.2.0.3;235.2.0.3;50101;False
SNP-LAB;D;5;2110-30 A Grp2 8ch;10.169.32.2;10.169.160.2;234.2.0.4;235.2.0.4;50102;False
SNP-LAB;D;6;2110-20-V;10.169.32.2;10.169.160.2;234.1.0.2;235.1.0.2;50100;False
SNP-LAB;D;6;2110-10_M;10.169.32.2;10.169.160.2;234.0.0.2;235.0.0.2;50103;False
SNP-LAB;D;6;2110-30 A Grp1 8ch;10.169.32.2;10.169.160.2;234.2.0.3;235.2.0.3;50101;False
SNP-LAB;D;6;2110-30 A Grp2 8ch;10.169.32.2;10.169.160.2;234.2.0.4;235.2.0.4;50102;False
SNP-LAB;D;7;2110-20-V;10.169.32.2;10.169.160.2;234.1.0.2;235.1.0.2;50100;False
SNP-LAB;D;7;2110-10_M;10.169.32.2;10.169.160.2;234.0.0.2;235.0.0.2;50103;False
SNP-LAB;D;7;2110-30 A Grp1 8ch;10.169.32.2;10.169.160.2;234.2.0.3;235.2.0.3;50101;False
SNP-LAB;D;7;2110-30 A Grp2 8ch;10.169.32.2;10.169.160.2;234.2.0.4;235.2.0.4;50102;False
SNP-LAB;D;8;2110-20-V;10.169.32.2;10.169.160.2;234.1.0.2;235.1.0.2;50100;False
SNP-LAB;D;8;2110-10_M;10.169.32.2;10.169.160.2;234.0.0.2;235.0.0.2;50103;False
SNP-LAB;D;8;2110-30 A Grp1 8ch;10.169.32.2;10.169.160.2;234.2.0.3;235.2.0.3;50101;False
SNP-LAB;D;8;2110-30 A Grp2 8ch;10.169.32.2;10.169.160.2;234.2.0.4;235.2.0.4;50102;False
